"retailer","PID","SKUV"
"amazon_uk","B01MSVV4B5",
"amazon_uk","B00IGHJLQ8","Jet Black^2mm"
"amazon_uk","B00JF3L8TU",
"amazon_uk","B00GWLH3HO","Purple^Medium"
"amazon_uk","B013XDLL6W",
"amazon_uk","B017SZZQ4E",
"amazon_uk","B00IGK1CBW","Emerald^2mm"
"amazon_uk","B06X3WLFF4",
"amazon_uk","B0748FB22D",
"amazon_uk","B00D1V67BG",
"amazon_uk","B00QZ8JZE8","Classic Pink^150cm"
"amazon_uk","B00DQUPBIM","Lovat^40W x 33L"
"amazon_uk","B009FV9O70","Purple^16-18 LXL"
"amazon_uk","B01J5UVIRE",
"amazon_uk","B00BP5Y2WG","Navy^38 Long"
"amazon_uk","B004NQ16I2","Magenta^Medium"
"amazon_uk","B00JF2RXP4",
"amazon_uk","B008XK6WLU",
"amazon_uk","B01B8KBFV8",
"amazon_uk","B01BRSF3AK",
"amazon_uk","B01CPDS9HU","Dark Grey^140cm"
"amazon_uk","B01M6407WQ","Pink3"
"amazon_uk","B00GLACH7M",
"amazon_uk","B00JF472YY",
"amazon_uk","B00NGWA9ZU",
"amazon_uk","B007KM1U7I",
"amazon_uk","B01BRSF4MC",
"amazon_uk","B008WMN9QU",
"amazon_uk","B01N6CCDSH","MOCCA WITH LACE^4 UK"
"amazon_uk","B01FKMGZC4","Black Pu^7 UK"
"amazon_uk","B00IUJVHWS","Orange^100cm"
"amazon_uk","B00B31GKL8",
"amazon_uk","B01BRSFGCK",
"amazon_uk","B00JF2H944",
"amazon_uk","B00TBPBTYQ","Peppermint^X-Large"
"amazon_uk","B00RPPZ6BG","White (Marble - True White)^11 UK"
"amazon_uk","B013WY31HE",
"amazon_uk","B00A3TFTA4",
"amazon_uk","B00SDGLA5M","Black/Green^11 UK Child"
"amazon_uk","B000WKZJ04",
"amazon_uk","B000YJBH4U",
"amazon_uk","B003DH1S26",
"amazon_uk","B01MXVD9HA",
"amazon_uk","B00JQ74ZU4","Black (Noir (Leopard/Black))^5 UK"
"amazon_uk","B01N2898Z2",
"amazon_uk","B00BT890US",
"amazon_uk","B00NGODC66",
"amazon_uk","B01MXO32XU",
"amazon_uk","B01N7FC7RW",
"amazon_uk","B0137L3BOA",
"amazon_uk","B01J5UW0TO",
"amazon_uk","B01BRSA09E",
"amazon_uk","B007PV9EYK",
"amazon_uk","B00L0WCGMW",
"amazon_uk","B004NQ2NP2","Lime^X-Large"
"amazon_uk","B00NGWLI8C",
"amazon_uk","B01617BN1A","Black^36 D"
"amazon_uk","B01J5V50EK",
"amazon_uk","B07F8B9RPF",
"amazon_uk","B00JF38RUI",
"amazon_uk","B00NEKYRD4",
"amazon_uk","B0082A03GG",
"amazon_uk","B00JF3IBD6",
"amazon_uk","B00JF3WVDC",
"amazon_uk","B002YTC2LU",
"amazon_uk","B078H8B46D",
"amazon_uk","B01N5CJQMT",
"amazon_uk","B01AU65Q16","Shirt Red^3XL"
"amazon_uk","B001NG9XY4",
"amazon_uk","B004QC0IBE","Cardinal Red^S - Chest 34-36"""
"amazon_uk","B002A89QPU",
"amazon_uk","B000WLDMTS",
"amazon_uk","B01MZ3V8OH",
"amazon_uk","B07C6JS5L1",
"amazon_uk","B01BRSCNFI",
"amazon_uk","B01M6E4Z2C",
"amazon_uk","B075Y5S34P",
"amazon_uk","B013WREDB4",
"amazon_uk","B00L9A5000","Blue (Navy/Grey)^6 UK"
"amazon_uk","B00D1V4XN0",
"amazon_uk","B0028YGVL8",
"amazon_uk","B00500KBNG",
"amazon_uk","B00942JH5Y","Khaki^9 UK"
"amazon_uk","B014V6YX0Q","15^Birthday Pop-Up"
"amazon_uk","B00JF3BX3Q",
"amazon_uk","B00J7VG87W",
"amazon_uk","B01CIBLWRI","Black^40 HH"
"amazon_uk","B010O28RYO","Crystal Argent^5mm"
"amazon_uk","B01BRSBDLI",
"amazon_uk","B003Z7J1NW",
"amazon_uk","B001ZSBWNK",
"amazon_uk","B000S88W2M",
"amazon_uk","B00MZ015J8","Navy^Medium / Large"
"amazon_uk","B07BFPQFBM",
"amazon_uk","B01BRSEO4G",
"amazon_uk","B00OM8D98Q",
"amazon_uk","B00DYPMIXU",
"amazon_uk","B00BEIIHBG",
"amazon_uk","B0797QGZJK",
"amazon_uk","B011P0EMPM",
"amazon_uk","B01N91RYQY",
"amazon_uk","B00ZCM27CA","Beige^10 UK"
"amazon_uk","B01M266CUW",
"amazon_uk","B00JF3K15C",
"amazon_uk","B003Z7F2VC",
"amazon_uk","B0012U7H3K","White (White)^11 UK"
"amazon_uk","B07FJC4HNL",
"amazon_uk","B01DTQYWTQ","Bubble Print^30 DD"
"amazon_uk","B01BRSI5F0",
"amazon_uk","B0028YULIW",
"amazon_uk","B018CGC3CG",
"amazon_uk","B01KI3ZQ20","Black^12 UK Child"
"amazon_uk","B00CS622IW",
"amazon_uk","B000T0PAMY","Black/Black^6.5 UK"
"amazon_uk","B01M63R4N4","Pink^9 UK"
"amazon_uk","B00ZEDPB6G",
"amazon_uk","B074NX7598",
"amazon_uk","B000SAU6QK",
"amazon_uk","B01J5V4HLW",
"amazon_uk","B00MVTQ7IM","Black^7.5 UK"
"amazon_uk","B073Z8TR6G",
"amazon_uk","B01LZ48I78",
"amazon_uk","B01633UO12",
"amazon_uk","B01IHIQYC4",
"amazon_uk","B01BRSJ806",
"amazon_uk","B01MQSSX9C",
"amazon_uk","B01BRSAEWM",
"amazon_uk","B013WOXFR0",
"amazon_uk","B000WL9OKE",
"amazon_uk","B01NCNM9XO","Red^Large Mat"
"amazon_uk","B01J5V03RY",
"amazon_uk","B0028Y7QM6",
"amazon_uk","B01BRSE626",
"amazon_uk","B01N7EZ4VE",
"amazon_uk","B01BRSA8P0",
"amazon_uk","B00JDM2YXC",
"amazon_uk","B01KLCBUNW","Sky Blue Handcrafted for Adult^One Size for Adult"
"amazon_uk","B00I478PV2",
"amazon_uk","B01MRXL89J","Style-4"
"amazon_uk","B01J5V3B3M",
"amazon_uk","B01BRSFTVS",
"amazon_uk","B00028O4FC",
"amazon_uk","B00JF3GYV2",
"amazon_uk","B01BRSMDGC",
"amazon_uk","B000F7WWUY",
"amazon_uk","B00DS9JRTK","Black^34W x 31L"
"amazon_uk","B01BRSFBHU",
"amazon_uk","B004NQ4T54","Orange Crush^X-Large"
"amazon_uk","B072NZFL7G",
"amazon_uk","B001ZSE3KE",
"amazon_uk","B004NQ8LCQ","Heather Grey^Small"
"amazon_uk","B01BRS9CRK",
"amazon_uk","B001ZS2AK4",
"amazon_uk","B01BRS77VS",
"amazon_uk","B00HB55PIO","Red (Pepper)^42/43 EU"
"amazon_uk","B01J5V29PI",
"amazon_uk","B0797P7P76",
"amazon_uk","B01GI9ZW4U",
"amazon_uk","B01BRSF0U8",
"amazon_uk","B000UWB7LE",
"amazon_uk","B004NQ4Q0C","Black^X-Small"
"amazon_uk","B007M7VFUI",
"amazon_uk","B00T7ZQE5Y","Dark Grey/Blue Nights^40 F"
"amazon_uk","B01BRSKA8U",
"amazon_uk","B01BRSCME0",
"amazon_uk","B001ZRWSES",
"amazon_uk","B007V6CXVK",
"amazon_uk","B01MYWWOO8",
"amazon_uk","B07BBJPTJL",
"amazon_uk","B00KVG9OIM","Red^18 inch (50cm)"
"amazon_uk","B000WKZFGW",
"amazon_uk","B000WKXLV8",
"amazon_uk","B00NGX98H4",
"amazon_uk","B078STNPDW",
"amazon_uk","B00MDK4XIA","Black/White^6 UK"
"amazon_uk","B00PSML2HA",
"amazon_uk","B00T7ZQTVI","Dark Grey/Blue Nights^30 DD"
"amazon_uk","B00GDAEOIA","Olive^20"
"amazon_uk","B01KI40RY6","Grey/Pink^8.5 UK Child"
"amazon_uk","B01BRSGXQ8",
"amazon_uk","B01BRS81U4",
"amazon_uk","B01J5V1BDE",
"amazon_uk","B00SR28VRW",
"amazon_uk","B01J5V1OJK",
"amazon_uk","B000ONJUYU",
"amazon_uk","B00JF36NAO",
"amazon_uk","B01LQ76S06","Collectors^PC"
"amazon_uk","B00BEIID6K",
"amazon_uk","B013X69C9M","Black (Sulphur Spring/True White)^3 UK"
"amazon_uk","B001ZRIHRU",
"amazon_uk","B01NBHQ020",
"amazon_uk","B006B5RCLS",
"amazon_uk","B00NGVMZOY",
"amazon_uk","B01J5V0XIS",
"amazon_uk","B007VOQBZG",
"amazon_uk","B01009ZEEC",
"amazon_uk","B00B8QKIDY","Brown^7mm X 140cm"
"amazon_uk","B01BRSB14C",
"amazon_uk","B01KIQZ8V6","Black"
"amazon_uk","B002HXB2QY",
"amazon_uk","B013WOZEBU",
"amazon_uk","B01BRSG7XW",
"amazon_uk","B01J5UZC58",
"amazon_uk","B00P6594Q0","Purple^3M 30led"
"amazon_uk","B01J5V73MC",
"amazon_uk","B00B7ZJ5HQ",
"amazon_uk","B000WLD8CE",
"amazon_uk","B0797P896V",
"amazon_uk","B01BRSGOUS",
"amazon_uk","B01BRSKHZG",
"amazon_uk","B008BH5AVI","Navy^34"""
"amazon_uk","B01F3OYND2",
"amazon_uk","B01D9PLVTG","Black"
"amazon_uk","B00J7VGYNA",
"amazon_uk","B00B8XXZXW",
"amazon_uk","B01BRSFHO2",
"amazon_uk","B00B7ZA7T6",
"amazon_uk","B014UXVER0","Black^7 UK"
"amazon_uk","B01BRS6TGW",
"amazon_uk","B073Z9JG5V",
"amazon_uk","B001ZS4IL8",
"amazon_uk","B00JJLZHH2",
"amazon_uk","B00JF4225I",
"amazon_uk","B00CONKTWK",
"amazon_uk","B01BRS977U",
"amazon_uk","B00JF46EA2",
"amazon_uk","B001ZRGXYO",
"amazon_uk","B00JF46394",
"amazon_uk","B00426SIUW",
"amazon_uk","B008XJL08Q",
"amazon_uk","B0085L3OJU","925 Silver^3mm"
"amazon_uk","B01H4AFPEY","Black S Line Gel"
"amazon_uk","B00BV8S7L4","Black^5 UK"
"amazon_uk","B01BRSP4K4",
"amazon_uk","B00JF3IUB4",
"amazon_uk","B005B48LJM","Purple (Plum Purple/True White)^10.5 UK"
"amazon_uk","B0797P895T",
